Overall Rank,City,state_id,Emotional & Physical Well-Being Rank,Income & Employment Rank ,Community & Environment Rank
81,Dallas, TX,27,95,172
82,Moreno Valley, CA,94,115,44
83,Nashua, NH,103,44,93
84,South Burlington, VT,75,30,168
85,Ontario, CA,90,118,58
86,Portland, OR,99,12,107
87,Jersey City, NJ,77,144,76
88,Reno, NV,102,89,61
89,Orlando, FL,61,76,154
90,Pittsburgh, PA,120,60,35
91,Fort Lauderdale, FL,80,105,173
92,Amarillo, TX,145,21,33
93,Laredo, TX,34,69,165
94,San Antonio, TX,98,32,139
95,Warwick, RI,134,42,8
96,Atlanta, GA,68,145,114
97,Kansas City, MO,105,131,60
98,Salt Lake City, UT,100,91,119
99,Chicago, IL,53,173,112
100,Modesto, CA,124,106,32
101,Casper, WY,139,81,54
102,Nampa, ID,109,140,41
103,Lewiston, ME,159,50,66
104,Nashville, TN,127,102,42
105,Henderson, NV,131,137,25
106,Vancouver, WA,119,96,70
107,Fort Wayne, IN,81,128,137
108,Tacoma, WA,110,98,115
109,Huntsville, AL,152,82,18
110,Manchester, NH,111,78,133
111,West Valley City, UT,113,94,125
112,Columbus, OH,122,138,51
113,Houston, TX,55,134,179
114,Sacramento, CA,92,85,148
115,Glendale, AZ,86,148,145
116,Salem, OR,147,20,108
117,Columbia, SC,144,39,88
118,Springfield, MO,138,107,68
119,Greensboro, NC,112,114,111
120,Lexington-Fayette, KY,149,80,71
121,Newport News, VA,116,152,98
122,Phoenix, AZ,84,141,153
123,Spokane, WA,140,75,69
124,Hialeah, FL,64,168,180
125,Bakersfield, CA,129,117,102
126,Miami, FL,63,120,182
127,Tampa, FL,126,108,128
128,San Bernardino, CA,107,149,155
129,Wichita, KS,114,126,157
130,Lubbock, TX,142,14,169
131,Tucson, AZ,104,121,160
132,Bridgeport, CT,108,153,147
133,Jacksonville, FL,132,125,124
134,Norfolk, VA,118,150,129
135,Oklahoma City, OK,156,122,64
136,Worcester, MA,133,116,138
137,St. Petersburg, FL,143,36,161
138,Corpus Christi, TX,148,24,164
139,Providence, RI,158,135,37
140,Winston-Salem, NC,125,132,144
141,Albuquerque, NM,130,109,159
142,Milwaukee, WI,115,169,141
143,Louisville, KY,165,135,49
144,Indianapolis, IN,137,172,89
145,North Las Vegas, NV,162,162,40
146,Fresno, CA,106,163,151
147,Rochester, NY,123,157,158
148,New Orleans, LA,160,133,78
149,Knoxville, TN,170,104,38
150,Cincinnati, OH,141,165,100
151,Richmond, VA,117,159,176
152,Dover, DE,97,130,177
153,Baton Rouge, LA,136,103,167
154,Stockton, CA,128,151,149
155,Buffalo, NY,146,154,135
156,Las Vegas, NV,155,156,123
157,Fayetteville, NC,169,147,85
158,New Haven, CT,150,160,150
159,Baltimore, MD,135,158,166
160,Akron, OH,157,171,113
161,Augusta, GA,164,170,80
162,Chattanooga, TN,172,129,97
163,Philadelphia, PA,171,143,103
164,Fort Smith, AR,177,119,65
165,Montgomery, AL,166,175,75
166,Memphis, TN,153,179,136
167,Jackson, MS,163,177,90
168,St. Louis, MO,151,178,146
169,Newark, NJ,121,182,170
170,Tulsa, OK,168,123,162
171,Toledo, OH,167,161,140
172,Shreveport, LA,174,164,95
173,Cleveland, OH,154,180,156
174,Columbus, GA,175,167,57
175,Mobile, AL,176,174,84
176,Wilmington, DE,161,155,181
177,Charleston, WV,180,70,121
178,Little Rock, AR,178,146,118
179,Gulfport, MS,179,166,82
180,Huntington, WV,181,97,142
181,Birmingham, AL,173,176,175
182,Detroit, MI,182,181,174
